X,Y,Z,ms,Date
0,-9,0,110508,2018-07-25 07:33:52:102
6,-13,-2,111007,2018-07-25 07:33:52:601
4,-1,-7,111508,2018-07-25 07:33:53:102
1,-12,1,112007,2018-07-25 07:33:53:601
1,-6,2,112508,2018-07-25 07:33:54:102
1,-8,1,113008,2018-07-25 07:33:54:602
5,-11,4,113507,2018-07-25 07:33:55:101
4,-10,-6,114008,2018-07-25 07:33:55:602
1,-15,0,114508,2018-07-25 07:33:56:102
7,-23,7,115007,2018-07-25 07:33:56:601
-1,-14,-1,115507,2018-07-25 07:33:57:101
3,-4,10,116008,2018-07-25 07:33:57:602
-1,-12,4,116508,2018-07-25 07:33:58:102
-4,-18,12,117008,2018-07-25 07:33:58:602
1,-11,1,117508,2018-07-25 07:33:59:102
6,-4,-3,118008,2018-07-25 07:33:59:602
1,-9,-1,118507,2018-07-25 07:34:00:101
4,-5,-3,119007,2018-07-25 07:34:00:601
1,-9,1,119508,2018-07-25 07:34:01:102
4,-5,-2,120008,2018-07-25 07:34:01:602
1,-8,1,120507,2018-07-25 07:34:02:101
0,-7,-2,121007,2018-07-25 07:34:02:601
-1,-12,-3,121508,2018-07-25 07:34:03:102
2,-12,7,122007,2018-07-25 07:34:03:601
0,-9,4,122507,2018-07-25 07:34:04:101
0,-9,1,123008,2018-07-25 07:34:04:602
0,-10,-1,123507,2018-07-25 07:34:05:101
-1,-10,0,124007,2018-07-25 07:34:05:601
0,-10,0,124508,2018-07-25 07:34:06:102
2,-9,4,125007,2018-07-25 07:34:06:601
0,-10,1,125507,2018-07-25 07:34:07:101
0,-15,-4,126008,2018-07-25 07:34:07:602
-2,-12,2,126507,2018-07-25 07:34:08:101
1,-9,1,127007,2018-07-25 07:34:08:601
-4,-11,1,127508,2018-07-25 07:34:09:102
0,-16,-2,128007,2018-07-25 07:34:09:601
-2,-14,-3,128508,2018-07-25 07:34:10:102
2,-9,2,129008,2018-07-25 07:34:10:602
0,-9,0,129508,2018-07-25 07:34:11:102
-2,-12,-1,130007,2018-07-25 07:34:11:601
0,-10,3,130507,2018-07-25 07:34:12:101
3,-10,-2,131007,2018-07-25 07:34:12:601
2,-9,3,131507,2018-07-25 07:34:13:101
5,-18,3,132007,2018-07-25 07:34:13:601
1,-10,0,132507,2018-07-25 07:34:14:101
0,-10,0,133008,2018-07-25 07:34:14:602
2,-10,2,133507,2018-07-25 07:34:15:101
2,-9,1,134007,2018-07-25 07:34:15:601
1,-10,-1,134507,2018-07-25 07:34:16:101
1,-10,-1,135008,2018-07-25 07:34:16:602
2,-10,0,135508,2018-07-25 07:34:17:102
1,-10,0,136007,2018-07-25 07:34:17:601
2,-10,0,136507,2018-07-25 07:34:18:101
2,-10,0,137008,2018-07-25 07:34:18:602
2,-10,0,137508,2018-07-25 07:34:19:102
2,-10,0,138007,2018-07-25 07:34:19:601
2,-10,0,138507,2018-07-25 07:34:20:101
2,-10,0,139007,2018-07-25 07:34:20:601
2,-10,0,139507,2018-07-25 07:34:21:101
2,-10,0,140007,2018-07-25 07:34:21:601
2,-10,0,140508,2018-07-25 07:34:22:102
2,-10,0,141007,2018-07-25 07:34:22:601
2,-10,0,141508,2018-07-25 07:34:23:102
2,-10,0,142007,2018-07-25 07:34:23:601
2,-10,0,142507,2018-07-25 07:34:24:101
1,-10,0,143007,2018-07-25 07:34:24:601
1,-10,0,143508,2018-07-25 07:34:25:102
2,-10,0,144008,2018-07-25 07:34:25:602
2,-10,0,144507,2018-07-25 07:34:26:101
2,-10,0,145008,2018-07-25 07:34:26:602
2,-10,0,145507,2018-07-25 07:34:27:101
1,-10,0,146007,2018-07-25 07:34:27:601
1,-10,0,146507,2018-07-25 07:34:28:101
1,-9,2,147008,2018-07-25 07:34:28:602
2,-10,1,147507,2018-07-25 07:34:29:101
-1,-10,-1,148007,2018-07-25 07:34:29:601
-2,-10,0,148507,2018-07-25 07:34:30:101
2,-10,1,149008,2018-07-25 07:34:30:602
1,-9,1,149508,2018-07-25 07:34:31:102
2,-9,2,150007,2018-07-25 07:34:31:601
4,-9,2,150508,2018-07-25 07:34:32:102
-2,-13,-1,151007,2018-07-25 07:34:32:601
-8,-7,2,151508,2018-07-25 07:34:33:102
-6,-1,11,152007,2018-07-25 07:34:33:601
1,6,5,152507,2018-07-25 07:34:34:101
2,6,8,153008,2018-07-25 07:34:34:602
-3,4,5,153508,2018-07-25 07:34:35:102
5,5,13,154008,2018-07-25 07:34:35:602
1,-1,15,154508,2018-07-25 07:34:36:102
0,0,9,155008,2018-07-25 07:34:36:602
2,1,7,155508,2018-07-25 07:34:37:102
-1,2,9,156007,2018-07-25 07:34:37:601
0,2,10,156507,2018-07-25 07:34:38:101
-1,1,8,157008,2018-07-25 07:34:38:602
3,2,13,157507,2018-07-25 07:34:39:101
0,4,9,158007,2018-07-25 07:34:39:601
1,4,9,158507,2018-07-25 07:34:40:101
1,4,9,159007,2018-07-25 07:34:40:601
1,4,9,159507,2018-07-25 07:34:41:101
1,3,9,160007,2018-07-25 07:34:41:601
1,4,10,160507,2018-07-25 07:34:42:101
1,3,9,161007,2018-07-25 07:34:42:601
2,3,9,161507,2018-07-25 07:34:43:101
2,3,9,162008,2018-07-25 07:34:43:602
1,3,10,162508,2018-07-25 07:34:44:102
1,3,10,163008,2018-07-25 07:34:44:602
1,3,9,163508,2018-07-25 07:34:45:102
1,3,9,164008,2018-07-25 07:34:45:602
2,4,9,164508,2018-07-25 07:34:46:102
4,2,9,165007,2018-07-25 07:34:46:601
1,3,10,165507,2018-07-25 07:34:47:101
4,4,7,166007,2018-07-25 07:34:47:601
3,5,9,166507,2018-07-25 07:34:48:101
1,3,9,167008,2018-07-25 07:34:48:602
2,1,9,167507,2018-07-25 07:34:49:101
1,1,8,168008,2018-07-25 07:34:49:602
6,1,8,168508,2018-07-25 07:34:50:102
8,1,-1,169007,2018-07-25 07:34:50:601
5,0,-4,169508,2018-07-25 07:34:51:102
8,-2,-5,170008,2018-07-25 07:34:51:602
7,0,-6,170507,2018-07-25 07:34:52:101
9,-3,-7,171007,2018-07-25 07:34:52:601
6,2,12,171507,2018-07-25 07:34:53:101
2,5,5,172008,2018-07-25 07:34:53:602
0,9,-2,172507,2018-07-25 07:34:54:101
0,9,5,173008,2018-07-25 07:34:54:602
1,8,5,173507,2018-07-25 07:34:55:101
1,8,6,174007,2018-07-25 07:34:55:601
0,6,11,174507,2018-07-25 07:34:56:101
2,5,8,175008,2018-07-25 07:34:56:602
1,5,8,175508,2018-07-25 07:34:57:102
1,5,9,176007,2018-07-25 07:34:57:601
1,5,8,176508,2018-07-25 07:34:58:102
1,5,8,177008,2018-07-25 07:34:58:602
1,5,8,177508,2018-07-25 07:34:59:102
1,6,9,178007,2018-07-25 07:34:59:601
1,5,9,178508,2018-07-25 07:35:00:102
1,5,9,179008,2018-07-25 07:35:00:602
1,5,8,179508,2018-07-25 07:35:01:102
1,5,8,180008,2018-07-25 07:35:01:602
1,5,8,180510,2018-07-25 07:35:02:104
1,5,8,181007,2018-07-25 07:35:02:601
1,5,8,181507,2018-07-25 07:35:03:101
1,5,9,182008,2018-07-25 07:35:03:602
1,5,7,182508,2018-07-25 07:35:04:102
6,7,7,183007,2018-07-25 07:35:04:601
1,6,8,183507,2018-07-25 07:35:05:101
1,4,11,184007,2018-07-25 07:35:05:601
1,6,8,184507,2018-07-25 07:35:06:101
1,4,6,185007,2018-07-25 07:35:06:601
1,7,3,185508,2018-07-25 07:35:07:102
2,4,9,186008,2018-07-25 07:35:07:602
2,5,8,186509,2018-07-25 07:35:08:103
3,6,8,187008,2018-07-25 07:35:08:602
3,4,8,187508,2018-07-25 07:35:09:102
4,6,5,188007,2018-07-25 07:35:09:601
4,6,7,188507,2018-07-25 07:35:10:101
6,3,10,189008,2018-07-25 07:35:10:602
3,3,8,189508,2018-07-25 07:35:11:102
3,1,7,190008,2018-07-25 07:35:11:602
3,0,11,190507,2018-07-25 07:35:12:101
4,2,13,191007,2018-07-25 07:35:12:601
0,7,6,191507,2018-07-25 07:35:13:101
2,7,10,192007,2018-07-25 07:35:13:601
1,8,8,192507,2018-07-25 07:35:14:101
1,8,8,193007,2018-07-25 07:35:14:601
2,8,8,193507,2018-07-25 07:35:15:101
1,7,6,194008,2018-07-25 07:35:15:602
-1,8,5,194508,2018-07-25 07:35:16:102
1,5,8,195008,2018-07-25 07:35:16:602
0,8,6,195508,2018-07-25 07:35:17:102
4,6,10,196008,2018-07-25 07:35:17:602
0,7,12,196507,2018-07-25 07:35:18:101
2,6,10,197007,2018-07-25 07:35:18:601
1,8,8,197508,2018-07-25 07:35:19:102
3,7,8,198008,2018-07-25 07:35:19:602
2,9,7,198508,2018-07-25 07:35:20:102
3,8,8,199008,2018-07-25 07:35:20:602
2,9,7,199507,2018-07-25 07:35:21:101
3,8,11,200007,2018-07-25 07:35:21:601
2,8,12,200507,2018-07-25 07:35:22:101
2,6,9,201008,2018-07-25 07:35:22:602
2,6,7,201508,2018-07-25 07:35:23:102
2,4,13,202008,2018-07-25 07:35:23:602
0,5,11,202508,2018-07-25 07:35:24:102
2,5,8,203008,2018-07-25 07:35:24:602
2,6,7,203508,2018-07-25 07:35:25:102
2,4,7,204008,2018-07-25 07:35:25:602
0,5,7,204508,2018-07-25 07:35:26:102
5,1,14,205007,2018-07-25 07:35:26:601
-10,-4,-1,205508,2018-07-25 07:35:27:102
-9,-2,2,206008,2018-07-25 07:35:27:602
3,-5,-5,206508,2018-07-25 07:35:28:102
0,-10,5,207008,2018-07-25 07:35:28:602
1,-10,0,207508,2018-07-25 07:35:29:102
1,-10,0,208007,2018-07-25 07:35:29:601
1,-10,0,208507,2018-07-25 07:35:30:101
0,-10,0,209007,2018-07-25 07:35:30:601
1,-9,0,209507,2018-07-25 07:35:31:101
2,-10,0,210008,2018-07-25 07:35:31:602
2,-10,-1,210508,2018-07-25 07:35:32:102
1,-10,0,211007,2018-07-25 07:35:32:601
1,-10,-1,211508,2018-07-25 07:35:33:102
1,-10,-1,212007,2018-07-25 07:35:33:601
1,-10,-1,212507,2018-07-25 07:35:34:101
1,-10,0,213008,2018-07-25 07:35:34:602
0,-10,0,213508,2018-07-25 07:35:35:102
0,-10,1,214008,2018-07-25 07:35:35:602
2,-9,1,214507,2018-07-25 07:35:36:101
-2,-9,0,215007,2018-07-25 07:35:36:601
1,-9,0,215508,2018-07-25 07:35:37:102
1,-10,-1,216008,2018-07-25 07:35:37:602
7,-12,5,216508,2018-07-25 07:35:38:102
3,-9,7,217008,2018-07-25 07:35:38:602
-1,-9,0,217508,2018-07-25 07:35:39:102
3,-9,-1,218008,2018-07-25 07:35:39:602
2,-9,-1,218508,2018-07-25 07:35:40:102
0,-12,0,219008,2018-07-25 07:35:40:602
3,-4,0,219507,2018-07-25 07:35:41:101
0,-10,6,220007,2018-07-25 07:35:41:601
3,-11,1,220507,2018-07-25 07:35:42:101
0,-8,-3,221008,2018-07-25 07:35:42:602
2,-13,12,221508,2018-07-25 07:35:43:102
0,-8,2,222008,2018-07-25 07:35:43:602
0,-11,2,222507,2018-07-25 07:35:44:101
2,-13,-2,223008,2018-07-25 07:35:44:602
3,-10,3,223507,2018-07-25 07:35:45:101
0,-10,0,224008,2018-07-25 07:35:45:602
-1,-10,0,224508,2018-07-25 07:35:46:102
0,-10,0,225007,2018-07-25 07:35:46:601
2,-9,1,225507,2018-07-25 07:35:47:101
1,-8,0,226008,2018-07-25 07:35:47:602
0,-10,0,226508,2018-07-25 07:35:48:102
